City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
127,Upernavik,GL,2022-11-28 18:26:53,72.7868,-56.1549,10.78,95,92,13.98
128,Puerto Del Rosario,ES,2022-11-28 18:24:06,28.5004,-13.8627,69.55,78,40,17.27
129,Torbay,CA,2022-11-28 18:26:54,47.6666,-52.7314,38.75,95,100,18.41
130,La Cruz,MX,2022-11-28 18:26:54,23.9167,-106.9,79.77,24,0,4.74
131,Los Llanos De Aridane,ES,2022-11-28 18:26:54,28.6585,-17.9182,70.12,77,75,11.5
132,Athabasca,CA,2022-11-28 18:26:55,54.7169,-113.2854,10.81,75,100,16.15
133,Tuktoyaktuk,CA,2022-11-28 18:26:55,69.4541,-133.0374,-18.4,76,40,9.22
134,Huarmey,PE,2022-11-28 18:26:55,-10.0681,-78.1522,72.18,72,64,9.93
135,Vardo,NO,2022-11-28 18:27:56,70.3705,31.1107,31.98,93,75,11.5
136,Auki,SB,2022-11-28 18:27:56,-8.7676,160.7034,76.75,89,80,4.7
137,Bembereke,BJ,2022-11-28 18:27:56,10.2283,2.6634,78.28,24,61,2.04
138,Kargil,IN,2022-11-28 18:27:57,34.5667,76.1,22.17,39,0,3.22
139,Dikson,RU,2022-11-28 18:27:57,73.5069,80.5464,-0.72,99,73,3.04
140,Gat,IL,2022-11-28 18:27:00,31.61,34.7642,67.41,56,100,0.96
141,Narsaq,GL,2022-11-28 18:27:58,60.9167,-46.05,39.42,81,100,5.91
142,Takoradi,GH,2022-11-28 18:27:59,4.8845,-1.7554,80.38,79,56,9.6
143,Pasighat,IN,2022-11-28 18:27:59,28.0667,95.3333,61.86,44,0,4.09
144,Walvis Bay,NA,2022-11-28 18:27:59,-22.9575,14.5053,65.35,68,0,10.36
145,Bambous Virieux,MU,2022-11-28 18:28:00,-20.3428,57.7575,75.45,78,75,3.44
146,Longyearbyen,SJ,2022-11-28 18:23:45,78.2186,15.6401,37.24,81,75,1.14
147,Bulawayo,ZW,2022-11-28 18:28:00,-20.15,28.5833,61.18,89,88,12.35
148,Ust-Maya,RU,2022-11-28 18:28:01,60.4167,134.5333,-45.29,100,100,0.56
149,Kodiak,US,2022-11-28 18:28:01,57.79,-152.4072,26.11,93,100,4.61
150,Meulaboh,ID,2022-11-28 18:28:01,4.1363,96.1285,78.08,85,98,2.01
151,Flinders,AU,2022-11-28 18:28:02,-34.5833,150.8552,57.18,86,0,3.0
152,Pucara,PE,2022-11-28 18:28:02,-15.9803,-71.4606,46.53,45,57,15.43
153,Coahuayana,MX,2022-11-28 18:28:03,18.7333,-103.6833,86.76,53,61,4.9
154,Tual,ID,2022-11-28 18:28:03,-5.6667,132.75,84.29,74,100,14.88
155,Fukue,JP,2022-11-28 18:28:03,32.6881,128.8419,69.91,94,100,23.2
156,Kurud,IN,2022-11-28 18:28:04,20.8322,81.7214,66.18,56,4,3.56
157,Turgoyak,RU,2022-11-28 18:28:04,55.15,60.1183,0.73,94,27,3.6
158,Souillac,MU,2022-11-28 18:28:05,-20.5167,57.5167,75.58,78,75,3.44
159,Saldanha,ZA,2022-11-28 18:28:05,-33.0117,17.9442,80.65,63,90,9.42
160,Kvarkeno,RU,2022-11-28 18:28:06,52.0833,59.725,9.23,84,100,10.27
161,Dwarka,IN,2022-11-28 18:28:06,22.2394,68.9678,76.42,59,1,9.24
162,Sao Joao Da Barra,BR,2022-11-28 18:28:07,-21.6403,-41.0511,80.69,92,99,19.15
163,Hasaki,JP,2022-11-28 18:28:07,35.7333,140.8333,48.6,63,96,24.65
164,Porto Novo,BJ,2022-11-28 18:26:58,6.4965,2.6036,80.46,74,34,7.58
165,Karabash,RU,2022-11-28 18:28:08,55.4808,60.2157,3.85,92,17,3.09
166,Avarua,CK,2022-11-28 18:28:08,-21.2078,-159.775,77.05,78,40,12.66
167,Pevek,RU,2022-11-28 18:28:08,69.7008,170.3133,-1.07,92,95,5.59
168,Neuquen,AR,2022-11-28 18:25:05,-38.9516,-68.0591,91.29,33,20,5.75
169,Bella Union,UY,2022-11-28 18:28:09,-30.2752,-57.6007,96.66,24,0,13.33
170,Barkly West,ZA,2022-11-28 18:28:09,-28.5354,24.5215,76.28,45,75,12.35
171,Tala,EG,2022-11-28 18:26:29,30.6803,30.9429,61.12,54,100,4.07
172,Pervomayskiy,RU,2022-11-28 18:28:10,53.2485,40.2871,28.24,62,94,9.69
173,Saint-Philippe,RE,2022-11-28 18:28:10,-21.3585,55.7679,76.59,77,80,6.2
174,Batagay-Alyta,RU,2022-11-28 18:28:10,67.8006,130.4114,-32.6,92,20,3.53
175,Port Lincoln,AU,2022-11-28 18:28:11,-34.7333,135.8667,56.89,73,56,7.85
176,Yangambi,CD,2022-11-28 18:28:12,0.8102,24.4336,70.92,91,69,1.68
177,Ustka,PL,2022-11-28 18:28:13,54.5805,16.8619,32.65,88,10,14.97
178,Hovd,MN,2022-11-28 18:28:13,48.0056,91.6419,-6.05,58,0,2.98
179,Avera,US,2022-11-28 18:29:14,33.194,-82.5271,67.51,51,0,14.34
180,Fort Nelson,CA,2022-11-28 18:29:14,58.8053,-122.7002,0.99,82,100,5.75
181,Nizwa,OM,2022-11-28 18:29:15,22.9333,57.5333,73.36,33,10,2.28
182,Ewa Beach,US,2022-11-28 18:29:15,21.3156,-158.0072,75.15,79,100,6.91
183,Otradnoye,RU,2022-11-28 18:28:09,59.7775,30.8181,26.96,96,78,5.03
184,Ponta Delgada,PT,2022-11-28 18:29:16,37.7333,-25.6667,70.5,94,40,13.8
185,Victoria Point,AU,2022-11-28 18:29:16,-27.5833,153.3,71.91,93,96,3.91
186,Puerto Ayora,EC,2022-11-28 18:29:17,-0.7393,-90.3518,78.76,81,86,3.0
187,Warrnambool,AU,2022-11-28 18:29:17,-38.3833,142.4833,53.65,85,95,12.01
188,Preobrazheniye,RU,2022-11-28 18:29:17,42.9019,133.9064,38.98,89,100,12.84
189,Geraldton,AU,2022-11-28 18:29:18,-28.7667,114.6,73.76,52,0,11.68
190,Los Banos,PH,2022-11-28 18:29:19,14.1667,121.1833,79.29,89,19,7.31
191,Ndago,TZ,2022-11-28 18:29:19,-4.6,34.35,72.77,53,93,3.65
192,Bengkulu,ID,2022-11-28 18:29:21,-3.8004,102.2655,76.6,88,100,4.23
193,Hilo,US,2022-11-28 18:25:29,19.7297,-155.09,76.12,89,75,4.0
194,Canelli,IT,2022-11-28 18:29:21,44.7215,8.2924,47.48,91,100,1.52
195,Mukhen,RU,2022-11-28 18:29:21,48.1,136.1,17.38,82,100,2.8
196,Manoharpur,IN,2022-11-28 18:29:22,27.3,75.95,62.38,32,1,3.13
197,Richards Bay,ZA,2022-11-28 18:29:22,-28.783,32.0377,66.7,75,32,3.58
198,Port-Gentil,GA,2022-11-28 18:29:23,-0.7193,8.7815,80.24,77,83,7.36
199,Airai,TL,2022-11-28 18:29:23,-8.9266,125.4092,60.91,90,100,1.83
200,Pavlohrad,UA,2022-11-28 18:29:24,48.5167,35.8667,37.63,61,100,13.2
201,Posse,BR,2022-11-28 18:29:24,-14.0931,-46.3694,78.01,69,100,5.3
202,Vila,PT,2022-11-28 18:29:24,42.0304,-8.1588,41.88,90,90,2.39
203,Cabra,ES,2022-11-28 18:29:25,37.4725,-4.4421,50.77,56,29,0.45
204,Manica,FR,2022-11-28 18:29:26,49.0,-1.1667,44.02,91,98,5.01
205,Luderitz,NA,2022-11-28 18:29:26,-26.6481,15.1594,61.29,86,46,6.53
206,Palasa,IN,2022-11-28 18:29:26,18.7667,84.4167,67.69,65,14,4.41
207,Jumla,NP,2022-11-28 18:29:27,29.2747,82.1838,43.23,55,0,4.99
208,Hobyo,SO,2022-11-28 18:29:27,5.3505,48.5268,80.62,73,47,14.97
209,Oum Hadjer,TD,2022-11-28 18:29:27,13.2954,19.6966,81.07,16,39,9.51
210,Santa Rosa,PH,2022-11-28 18:29:00,14.3122,121.1114,80.58,90,11,8.59
211,Laguna,US,2022-11-28 18:29:28,38.421,-121.4238,57.02,71,0,8.05
212,Norman Wells,CA,2022-11-28 18:29:28,65.282,-126.8329,-16.56,76,75,5.75
213,Clyde River,CA,2022-11-28 18:29:29,70.4692,-68.5914,-9.17,77,0,17.27
214,Jaguaribe,BR,2022-11-28 18:29:29,-5.8906,-38.6219,92.32,36,74,8.12
215,Abu Kamal,SY,2022-11-28 18:29:30,34.4506,40.9171,61.47,44,27,7.81
216,Tianjin,CN,2022-11-28 18:29:30,39.1422,117.1767,28.35,31,0,24.61
217,San Luis,AR,2022-11-28 18:29:30,-33.295,-66.3356,97.23,15,65,5.82
218,Waipawa,NZ,2022-11-28 18:29:31,-41.4122,175.5153,52.52,78,52,14.36
219,Olafsvik,IS,2022-11-28 18:29:31,64.8945,-23.7142,41.36,71,96,16.64
220,Nara,JP,2022-11-28 18:29:32,34.6851,135.8049,58.5,79,92,2.71
221,Klaksvik,FO,2022-11-28 18:29:32,62.2266,-6.589,47.32,90,1,14.41
222,Road Town,VG,2022-11-28 18:29:32,18.4167,-64.6167,86.09,83,40,6.91
223,Eureka,US,2022-11-28 18:29:33,40.8021,-124.1637,50.61,94,99,1.01
224,San Rafael,AR,2022-11-28 18:29:08,-34.6177,-68.3301,93.79,27,20,4.61
225,Genas,FR,2022-11-28 18:29:33,45.7322,4.9994,46.49,90,100,3.44
226,Kemijarvi,FI,2022-11-28 18:29:33,66.7131,27.4306,25.77,95,100,5.48
227,Pitimbu,BR,2022-11-28 18:30:34,-7.4706,-34.8086,82.99,67,33,12.08
228,Nouakchott,MR,2022-11-28 18:30:34,18.0858,-15.9785,87.73,30,0,10.13
229,Oleksandrivka,UA,2022-11-28 18:30:35,48.9634,32.2349,37.76,93,100,9.75
230,San Patricio,US,2022-11-28 18:30:36,28.017,-97.5169,71.46,62,0,5.46
231,Sydney,AU,2022-11-28 18:27:14,-33.8679,151.2073,60.37,90,0,8.05
232,Dhidhdhoo,MV,2022-11-28 18:30:36,6.8833,73.1,80.69,71,100,2.55
233,Imperial,US,2022-11-28 18:30:37,33.0334,-115.4175,66.58,20,21,6.85
234,Vestmannaeyjar,IS,2022-11-28 18:30:37,63.4427,-20.2734,34.79,80,0,6.91
235,Cherskiy,RU,2022-11-28 18:30:38,68.75,161.3,0.37,96,100,4.74
236,Kutum,SD,2022-11-28 18:30:38,14.2,24.6667,70.36,24,4,2.24
237,Port Blair,IN,2022-11-28 18:30:39,11.6667,92.75,78.84,94,20,2.3
238,Tahta,EG,2022-11-28 18:30:39,26.7693,31.5021,67.14,31,11,5.79
239,Cabo San Lucas,MX,2022-11-28 18:28:38,22.8909,-109.9124,81.61,53,0,4.0
240,Whitehorse,CA,2022-11-28 18:30:40,60.7161,-135.0538,5.81,77,100,10.36
241,Cuiluan,CN,2022-11-28 18:30:40,47.72,128.648,11.14,95,100,2.91
242,Saint-Georges,GD,2022-11-28 18:30:40,12.0564,-61.7485,83.88,74,20,23.02
243,Yamada,JP,2022-11-28 18:30:41,39.4667,141.95,54.07,91,100,11.59
244,Aboso,GH,2022-11-28 18:30:41,5.3617,-1.9473,75.24,90,91,4.32
245,Thunder Bay,CA,2022-11-28 18:30:42,48.4001,-89.3168,33.78,75,100,18.41
246,Kashan,IR,2022-11-28 18:30:42,33.9831,51.4364,56.19,41,97,0.67
247,Pangnirtung,CA,2022-11-28 18:30:42,66.1451,-65.7125,12.2,62,100,11.5
248,Kloulklubed,PW,2022-11-28 18:30:43,7.0419,134.2556,79.3,79,48,16.89
