City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
188,Chapais,CA,49.7834,-74.8492,20.98,88,100,19.64,light snow
189,Omboue,GA,-1.5746,9.2618,78.53,88,100,7.11,light rain
190,Cockburn Town,TC,21.4612,-71.1419,80.06,68,1,17.69,clear sky
191,Lagoa,PT,39.05,-27.9833,59.13,68,59,30.02,broken clouds
192,Atasu,KZ,48.6814,71.6433,14.05,96,100,4.34,light snow
193,Markovo,RU,57.3206,107.0881,-9.33,96,100,3.85,overcast clouds
194,Kaitangata,NZ,-46.2817,169.8464,46.58,70,28,10.67,scattered clouds
195,Tankara,IN,22.6667,70.7333,72.63,34,0,9.4,clear sky
196,Zhigansk,RU,66.7697,123.3711,-12.05,99,100,3.62,overcast clouds
197,Klaksvik,FO,62.2266,-6.589,47.32,96,100,7.36,light rain
198,Nabire,ID,-3.3667,135.4833,75.76,89,100,1.36,overcast clouds
199,Port-Gentil,GA,-0.7193,8.7815,80.56,83,98,9.91,light rain
200,Norman Wells,CA,65.282,-126.8329,-3.96,77,100,0.0,light snow
201,Magadi,IN,12.9667,77.2333,69.96,86,61,7.4,broken clouds
202,Grand Gaube,MU,-20.0064,57.6608,75.6,70,33,1.99,scattered clouds
203,Sao Filipe,CV,14.8961,-24.4956,75.52,64,70,9.46,broken clouds
204,Shizunai,JP,42.3339,142.3669,31.1,59,100,22.62,overcast clouds
205,Kaeo,NZ,-35.1,173.7833,56.32,94,96,3.6,overcast clouds
206,Pierre,US,44.3683,-100.351,39.85,44,0,11.99,clear sky
207,Sobolevo,RU,54.4299,31.8996,19.33,88,99,9.28,overcast clouds
208,Geraldton,AU,-28.7667,114.6,61.21,77,4,3.44,clear sky
209,Uruguaiana,BR,-29.7547,-57.0883,89.53,45,75,11.5,broken clouds
210,Nikolskoye,RU,59.7035,30.7861,17.8,87,100,2.77,overcast clouds
211,Lapeer,US,43.0514,-83.3188,35.26,64,75,8.05,broken clouds
212,Beyneu,KZ,45.3167,55.2,24.76,29,0,5.82,clear sky
213,Loreto,MX,22.2667,-101.9667,65.41,54,68,10.33,broken clouds
214,Conceicao Do Araguaia,BR,-8.2578,-49.2647,82.85,76,97,3.13,overcast clouds
215,Vila Franca Do Campo,PT,37.7167,-25.4333,63.19,75,44,7.18,scattered clouds
216,Zhangjiakou,CN,40.81,114.8794,12.0,26,0,1.03,clear sky
217,Russell,US,32.3502,-85.1999,58.41,28,0,5.75,clear sky
218,Arima,TT,10.6333,-61.2833,87.33,56,40,11.5,scattered clouds
219,Vadinsk,RU,53.6916,43.0574,15.93,89,70,5.55,broken clouds
220,Calderitas,MX,18.55,-88.25,87.91,66,75,5.75,broken clouds
221,Kahului,US,20.8947,-156.47,77.85,85,40,10.0,scattered clouds
222,Ancud,CL,-41.8697,-73.8203,54.86,57,78,9.35,broken clouds
223,Misratah,LY,32.3754,15.0925,63.34,56,91,0.98,overcast clouds
224,Mezen,RU,65.8522,44.24,25.09,96,100,5.5,light snow
225,Purpe,RU,64.4803,76.6897,-7.29,87,95,9.4,overcast clouds
226,Saint-Remi,CA,45.2668,-73.6159,34.88,59,99,16.11,overcast clouds
227,Xining,CN,36.6167,101.7667,25.43,34,30,0.45,scattered clouds
228,Tingo Maria,PE,-9.2895,-76.0088,79.11,83,40,0.0,scattered clouds
229,Longyearbyen,SJ,78.2186,15.6401,37.24,81,75,11.5,light intensity shower rain
230,Valreas,FR,44.3837,4.9908,43.61,87,18,7.02,few clouds
231,Te Anau,NZ,-45.4167,167.7167,40.87,84,47,0.83,scattered clouds
232,Nhulunbuy,AU,-12.2333,136.7667,81.21,89,100,0.0,overcast clouds
233,Waingapu,ID,-9.6567,120.2641,78.69,83,94,1.7,overcast clouds
234,Tigil,RU,57.8,158.6667,12.72,94,98,5.7,overcast clouds
235,Iqaluit,CA,63.7506,-68.5145,4.73,77,100,26.46,light snow
236,Pimenteiras,BR,-6.2453,-41.4192,83.55,60,92,3.67,moderate rain
237,Callaway,US,30.153,-85.5699,61.92,39,0,10.36,clear sky
238,Kedrovyy,RU,56.1667,91.8167,-10.14,100,100,2.86,overcast clouds
239,Saint-Georges,GD,12.0564,-61.7485,85.68,70,40,11.5,scattered clouds
240,Liptovsky Hradok,SK,49.0396,19.7234,28.74,87,92,2.33,overcast clouds
241,Kloulklubed,PW,7.0419,134.2556,77.5,71,73,13.91,broken clouds
242,Manzhouli,CN,49.6,117.4333,4.17,90,100,12.91,overcast clouds
243,Iracoubo,GF,5.4802,-53.2011,82.38,71,98,11.95,overcast clouds
244,Zhaodong,CN,46.0833,125.9833,-1.12,82,6,11.34,clear sky
245,Touros,BR,-5.1989,-35.4608,83.25,61,55,13.98,broken clouds
246,Turukhansk,RU,65.8167,87.9833,-0.72,98,100,7.49,overcast clouds
247,Alexandria,EG,31.2156,29.9553,67.26,63,0,7.58,clear sky
248,Fortuna,US,40.5982,-124.1573,45.93,97,0,5.75,clear sky
249,Prieska,ZA,-29.6641,22.7474,86.54,28,81,16.93,broken clouds
250,Sur,OM,22.5667,59.5289,73.87,53,24,2.21,few clouds
251,Mudkhed,IN,19.1667,77.5167,67.77,52,4,6.22,clear sky
252,San Antonio,US,29.4241,-98.4936,53.04,58,100,8.05,overcast clouds
253,Vardo,NO,70.3705,31.1107,31.98,86,75,5.75,broken clouds
254,Losal,IN,27.4,74.9167,62.33,26,48,4.81,scattered clouds
255,San Blas,MX,21.5167,-105.2667,94.89,54,6,5.97,clear sky
256,San Quintin,MX,30.4833,-115.95,59.43,61,89,7.7,overcast clouds
257,Santana Do Livramento,BR,-30.8908,-55.5328,84.27,48,38,11.86,scattered clouds
258,Kalmunai,LK,7.4167,81.8167,77.2,86,26,3.89,scattered clouds
259,Gigmoto,PH,13.7796,124.39,80.64,84,100,14.72,overcast clouds
260,Antigonish,CA,45.6169,-61.9986,42.15,84,83,5.01,broken clouds
261,Coquimbo,CL,-29.9533,-71.3436,67.73,68,75,13.8,broken clouds
262,Tahta,EG,26.7693,31.5021,66.06,33,0,7.23,clear sky
263,Mehamn,NO,71.0357,27.8492,33.75,93,75,6.91,broken clouds
264,Santa Isabel,BR,-23.3156,-46.2214,85.71,53,58,3.51,broken clouds
265,Tripoli,LY,32.8752,13.1875,62.15,58,61,3.24,broken clouds
266,San Cristobal,VE,7.7669,-72.225,64.58,78,85,4.81,overcast clouds
267,Khatanga,RU,71.9667,102.5,11.19,92,100,15.05,overcast clouds
268,Mgandu,TZ,-5.95,34.1333,65.86,73,98,3.15,light rain
269,Kavieng,PG,-2.5744,150.7967,81.52,74,90,4.92,overcast clouds
270,Nenjiang,CN,49.1833,125.2167,-14.75,93,46,5.64,scattered clouds
271,Scottsbluff,US,41.8666,-103.6672,35.78,71,0,0.0,clear sky
272,Airai,TL,-8.9266,125.4092,58.5,82,86,1.92,overcast clouds
273,Leningradskiy,RU,69.3833,178.4167,26.78,80,100,9.08,overcast clouds
274,Coahuayana,MX,18.7333,-103.6833,88.05,56,89,3.65,overcast clouds
275,Jalu,LY,29.0331,21.5482,61.45,38,0,7.31,clear sky
276,Soyo,AO,-6.1349,12.3689,79.88,83,64,8.43,broken clouds
277,Vera Cruz,BR,-12.6333,-41.0333,69.37,62,98,5.23,heavy intensity rain
278,Talakan,RU,50.3167,130.3667,-19.59,100,94,3.13,overcast clouds
279,Goderich,CA,43.7501,-81.7165,34.92,69,100,13.8,overcast clouds
280,Ostrovnoy,RU,68.0531,39.5131,26.42,95,100,9.15,overcast clouds
